site_id,site_name,lat,lon,website,site_type,active
croft_castle_and_parkland,Croft Castle and Parkland,52.2881264,-2.8090658,,park,True
crook_hall_gardens,Crook Hall Gardens,54.7826146,-1.5743791,,attraction,True
crook_hill_circular_ethel_high_peak,"Crook Hill Circular (Ethel), High Peak",53.3890389,-1.7316621,,yes,True
croome_court,Croome Court,52.0996416,-2.1692303,,attraction,True
cwmmau_farmhouse,Cwmmau Farmhouse,52.153562,-3.058696,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/herefordshire-countryside,attraction,True
dapdune_wharf,Dapdune Wharf,51.2428702,-0.5790244,https://www.nationaltrust.org.uk/river-wey-and-godalming-navigations-and-dapdune-wharf,museum,True
darrow_wood_national_trust,Darrow Wood (National Trust),52.4565879,1.3322521,https://www.nationaltrust.org.uk/visit/norfolk/darrow-wood,park,True
dolaucothi_gold_mines,Dolaucothi Gold Mines,52.0446345,-3.9498969,,attraction,True
dolebury_hill_fort,Dolebury Hill Fort,51.3269614,-2.7905841,,archaeological_site,True
dolebury_warren_inner_wall,Dolebury Warren inner wall,51.3265391,-2.787049,,archaeological_site,True
dora_s_field,Dora's Field,54.4473662,-2.9828056,,attraction,True
doric_temple,Doric Temple,50.9906206,-0.6111721,,attraction,True
dorney_wood,Dorney Wood,51.5544394,-0.6482035,,house,True
dream_garden_nt,Dream Garden (NT),51.1827449,-3.4455111,,garden,True
drovers_estate,Drovers Estate,50.9229172,-0.7551378,https://www.nationaltrust.org.uk/drovers-estate,,True
dudmaston_hall,Dudmaston Hall,52.4964811,-2.375231,https://www.nationaltrust.org.uk/dudmaston,museum,True
duffield_castle,Duffield Castle,52.9927375,-1.4899658,https://www.nationaltrust.org.uk/duffield-castle/,archaeological_site,True
dunham_massey_park,Dunham Massey Park,53.3806578,-2.395287,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/dunham-massey,attraction,True
dunsland_parkland,Dunsland Parkland,50.8254999,-4.2563113,,nature_reserve,True
dunstable_downs,Dunstable Downs,51.8675136,-0.5439539,https://www.nationaltrust.org.uk/dunstable-downs-chilterns-gateway-and-whipsnade-estate/,park,True
dunstall_castle,Dunstall castle,52.0842983,-2.1683194,,attraction,True
dunster_castle,Dunster Castle,51.1816623,-3.4437207,https://www.nationaltrust.org.uk/dunstercastle/,attraction,True
dyffryn_gardens,Dyffryn Gardens,51.4438315,-3.3018856,https://www.nationaltrust.org.uk/dyffryn-gardens,park,True
dyrham_park,Dyrham Park,51.4800877,-2.3698497,https://www.nationaltrust.org.uk/dyrham-park,attraction,True
east_garden,East Garden,51.6363843,-2.3173132,,garden,True
east_pool_mine,East Pool Mine,50.2310198,-5.2621043,https://www.nationaltrust.org.uk/east-pool-mine,museum,True
east_riddlesden_hall,East Riddlesden Hall,53.874748,-1.881369,https://www.nationaltrust.org.uk/visit/yorkshire/east-riddlesden-hall,attraction,True
eastbury_manor_house,Eastbury Manor House,51.5343068,0.0994317,https://www.nationaltrust.org.uk/visit/london/eastbury-manor-house,museum,True
ecton_copper_mine,Ecton Copper Mine,53.124737,-1.8533066,,yes,True
eggardon_hill_fort,Eggardon Hill Fort,50.750427,-2.6513397,https://www.nationaltrust.org.uk/eggardon-hill/,archaeological_site,True
elgar_s_birthplace_museum,Elgar's Birthplace Museum,52.1990035,-2.2827118,,museum,True
emmetts_garden,Emmetts Garden,51.2516311,0.1162631,https://www.nationaltrust.org.uk/emmetts-garden/,attraction,True
erddig_hall,Erddig Hall,53.0271479,-3.0065449,https://www.nationaltrust.org.uk/erddig,museum,True
eyam_hall,Eyam Hall,53.2849008,-1.6766258,https://www.eyamhall.co.uk/,attraction,True
family_amble_nw_hants,"Family Amble, NW Hants",51.3617713,-1.3667842,,yes,True
fan_bay_sound_mirrors,Fan Bay Sound Mirrors,51.1359741,1.3609172,,attraction,True
fane_of_pastoral_poetry,Fane of Pastoral Poetry,52.0372696,-1.0141423,,attraction,True
farnborough_hall,Farnborough Hall,52.1413393,-1.3720417,,attraction,True
felbrigg_hall,Felbrigg Hall,52.9074439,1.2601018,,house,True
fell_foot,Fell Foot,54.2738075,-2.9536818,https://www.nationaltrust.org.uk/fell-foot,attraction,True
fell_foot_active_base,Fell Foot Active Base,54.2763482,-2.9517061,,sports_centre,True
fenton_house,Fenton House,51.5588821,-0.1796818,https://www.nationaltrust.org.uk/visit/london/fenton-house-and-garden,museum,True
ferry_lane,Ferry Lane,50.3859702,-4.2244021,https://www.nationaltrust.org.uk/antony,yes,True
